Time,PAR,tsec,date
2013-07-27T02:12:14Z,1.2,7934,2013-07-27
2013-07-27T02:12:44Z,1.2,7964,2013-07-27
2013-07-27T02:13:14Z,1.2,7994,2013-07-27
2013-07-27T02:13:44Z,1.2,8024,2013-07-27
2013-07-27T02:14:14Z,1.2,8054,2013-07-27
2013-07-27T02:14:44Z,1.2,8084,2013-07-27
2013-07-27T02:15:14Z,1.2,8114,2013-07-27
2013-07-27T02:15:44Z,1.2,8144,2013-07-27
2013-07-27T02:16:14Z,1.2,8174,2013-07-27
2013-07-27T02:16:44Z,1.2,8204,2013-07-27
2013-07-27T02:17:14Z,1.2,8234,2013-07-27
2013-07-27T02:17:44Z,1.2,8264,2013-07-27
2013-07-27T02:18:14Z,1.2,8294,2013-07-27
2013-07-27T02:18:44Z,1.2,8324,2013-07-27
2013-07-27T02:19:14Z,1.2,8354,2013-07-27
2013-07-27T02:19:44Z,1.2,8384,2013-07-27
2013-07-27T02:20:14Z,1.2,8414,2013-07-27
2013-07-27T02:20:44Z,1.2,8444,2013-07-27
2013-07-27T02:21:14Z,1.2,8474,2013-07-27
2013-07-27T02:21:44Z,1.2,8504,2013-07-27
2013-07-27T02:22:14Z,1.2,8534,2013-07-27
2013-07-27T02:22:44Z,1.2,8564,2013-07-27
2013-07-27T02:23:14Z,1.2,8594,2013-07-27
2013-07-27T02:23:44Z,1.2,8624,2013-07-27
2013-07-27T02:24:14Z,1.2,8654,2013-07-27
2013-07-27T02:24:44Z,1.2,8684,2013-07-27
2013-07-27T02:25:14Z,1.2,8714,2013-07-27
2013-07-27T02:25:44Z,1.2,8744,2013-07-27
2013-07-27T02:26:14Z,1.2,8774,2013-07-27
2013-07-27T02:26:44Z,1.2,8804,2013-07-27
2013-07-27T02:27:14Z,1.2,8834,2013-07-27
2013-07-27T02:27:44Z,1.2,8864,2013-07-27
2013-07-27T02:28:14Z,1.2,8894,2013-07-27
2013-07-27T02:28:44Z,1.2,8924,2013-07-27
2013-07-27T02:29:14Z,1.2,8954,2013-07-27
2013-07-27T02:29:44Z,1.2,8984,2013-07-27
2013-07-27T02:30:14Z,1.2,9014,2013-07-27
2013-07-27T02:30:44Z,1.2,9044,2013-07-27
2013-07-27T02:31:14Z,1.2,9074,2013-07-27
2013-07-27T02:31:44Z,1.2,9104,2013-07-27
2013-07-27T02:32:14Z,1.2,9134,2013-07-27
2013-07-27T02:32:44Z,1.2,9164,2013-07-27
2013-07-27T02:33:14Z,1.2,9194,2013-07-27
2013-07-27T02:33:44Z,1.2,9224,2013-07-27
2013-07-27T02:34:14Z,1.2,9254,2013-07-27
2013-07-27T02:34:44Z,1.2,9284,2013-07-27
2013-07-27T02:35:14Z,1.2,9314,2013-07-27
2013-07-27T02:35:44Z,1.2,9344,2013-07-27
2013-07-27T02:36:14Z,1.2,9374,2013-07-27
2013-07-27T02:36:44Z,1.2,9404,2013-07-27
2013-07-27T02:37:14Z,1.2,9434,2013-07-27
2013-07-27T02:37:44Z,1.2,9464,2013-07-27
2013-07-27T02:38:14Z,1.2,9494,2013-07-27
2013-07-27T02:38:44Z,1.2,9524,2013-07-27
2013-07-27T02:39:14Z,1.2,9554,2013-07-27
2013-07-27T02:39:44Z,1.2,9584,2013-07-27
2013-07-27T02:40:14Z,1.2,9614,2013-07-27
2013-07-27T02:40:44Z,1.2,9644,2013-07-27
2013-07-27T02:41:14Z,1.2,9674,2013-07-27
2013-07-27T02:41:44Z,1.2,9704,2013-07-27
2013-07-27T02:42:14Z,1.2,9734,2013-07-27
2013-07-27T02:42:44Z,1.2,9764,2013-07-27
2013-07-27T02:43:14Z,1.2,9794,2013-07-27
2013-07-27T02:43:44Z,1.2,9824,2013-07-27
2013-07-27T02:44:14Z,1.2,9854,2013-07-27
2013-07-27T02:44:44Z,1.2,9884,2013-07-27
2013-07-27T02:45:14Z,1.2,9914,2013-07-27
2013-07-27T02:45:44Z,1.2,9944,2013-07-27
2013-07-27T02:46:14Z,1.2,9974,2013-07-27
2013-07-27T02:46:44Z,1.2,10004,2013-07-27
2013-07-27T02:47:14Z,1.2,10034,2013-07-27
2013-07-27T02:47:44Z,1.2,10064,2013-07-27
2013-07-27T02:48:14Z,1.2,10094,2013-07-27
2013-07-27T02:48:44Z,1.2,10124,2013-07-27
2013-07-27T02:49:14Z,1.2,10154,2013-07-27
2013-07-27T02:49:44Z,1.2,10184,2013-07-27
2013-07-27T02:50:14Z,1.2,10214,2013-07-27
2013-07-27T02:50:44Z,1.2,10244,2013-07-27
2013-07-27T02:51:14Z,1.2,10274,2013-07-27
2013-07-27T02:51:44Z,1.2,10304,2013-07-27
2013-07-27T02:52:14Z,1.2,10334,2013-07-27
2013-07-27T02:52:44Z,1.2,10364,2013-07-27
2013-07-27T02:53:14Z,1.2,10394,2013-07-27
2013-07-27T02:53:44Z,1.2,10424,2013-07-27
2013-07-27T02:54:14Z,1.2,10454,2013-07-27
2013-07-27T02:54:44Z,1.2,10484,2013-07-27
2013-07-27T02:55:14Z,1.2,10514,2013-07-27
2013-07-27T02:55:44Z,1.2,10544,2013-07-27
2013-07-27T02:56:14Z,1.2,10574,2013-07-27
2013-07-27T02:56:44Z,1.2,10604,2013-07-27
2013-07-27T02:57:14Z,1.2,10634,2013-07-27
2013-07-27T02:57:44Z,1.2,10664,2013-07-27
2013-07-27T02:58:14Z,1.2,10694,2013-07-27
2013-07-27T02:58:44Z,1.2,10724,2013-07-27
2013-07-27T02:59:14Z,1.2,10754,2013-07-27
2013-07-27T02:59:44Z,1.2,10784,2013-07-27
2013-07-27T03:00:14Z,1.2,10814,2013-07-27
2013-07-27T03:00:44Z,1.2,10844,2013-07-27
2013-07-27T03:01:14Z,1.2,10874,2013-07-27
2013-07-27T03:01:44Z,1.2,10904,2013-07-27
2013-07-27T03:02:14Z,1.2,10934,2013-07-27
2013-07-27T03:02:44Z,1.2,10964,2013-07-27
2013-07-27T03:03:14Z,1.2,10994,2013-07-27
2013-07-27T03:03:44Z,1.2,11024,2013-07-27
2013-07-27T03:04:14Z,1.2,11054,2013-07-27
2013-07-27T03:04:44Z,1.2,11084,2013-07-27
2013-07-27T03:05:14Z,1.2,11114,2013-07-27
2013-07-27T03:05:44Z,1.2,11144,2013-07-27
2013-07-27T03:06:14Z,1.2,11174,2013-07-27
2013-07-27T03:06:44Z,1.2,11204,2013-07-27
2013-07-27T03:07:14Z,1.2,11234,2013-07-27
2013-07-27T03:07:44Z,1.2,11264,2013-07-27
2013-07-27T03:08:14Z,1.2,11294,2013-07-27
2013-07-27T03:08:44Z,1.2,11324,2013-07-27
2013-07-27T03:09:14Z,1.2,11354,2013-07-27
2013-07-27T03:09:44Z,1.2,11384,2013-07-27
2013-07-27T03:10:14Z,1.2,11414,2013-07-27
2013-07-27T03:10:44Z,1.2,11444,2013-07-27
2013-07-27T03:11:14Z,1.2,11474,2013-07-27
2013-07-27T03:11:44Z,1.2,11504,2013-07-27
2013-07-27T03:12:14Z,1.2,11534,2013-07-27
2013-07-27T03:12:44Z,1.2,11564,2013-07-27
2013-07-27T03:13:14Z,1.2,11594,2013-07-27
2013-07-27T03:13:44Z,1.2,11624,2013-07-27
2013-07-27T03:14:14Z,1.2,11654,2013-07-27
2013-07-27T03:14:44Z,1.2,11684,2013-07-27
2013-07-27T03:15:14Z,1.2,11714,2013-07-27
2013-07-27T03:15:44Z,1.2,11744,2013-07-27
2013-07-27T03:16:14Z,1.2,11774,2013-07-27
2013-07-27T03:16:44Z,1.2,11804,2013-07-27
2013-07-27T03:17:14Z,1.2,11834,2013-07-27
2013-07-27T03:17:44Z,1.2,11864,2013-07-27
2013-07-27T03:18:14Z,1.2,11894,2013-07-27
2013-07-27T03:18:44Z,1.2,11924,2013-07-27
2013-07-27T03:19:14Z,1.2,11954,2013-07-27
2013-07-27T03:19:44Z,1.2,11984,2013-07-27
2013-07-27T03:20:14Z,1.2,12014,2013-07-27
2013-07-27T03:20:44Z,1.2,12044,2013-07-27
2013-07-27T03:21:14Z,1.2,12074,2013-07-27
2013-07-27T03:21:44Z,1.2,12104,2013-07-27
2013-07-27T03:22:14Z,1.2,12134,2013-07-27
2013-07-27T03:22:44Z,1.2,12164,2013-07-27
2013-07-27T03:23:14Z,1.2,12194,2013-07-27
2013-07-27T03:23:44Z,1.2,12224,2013-07-27
2013-07-27T03:24:14Z,1.2,12254,2013-07-27
2013-07-27T03:24:44Z,1.2,12284,2013-07-27
2013-07-27T03:25:14Z,1.2,12314,2013-07-27
2013-07-27T03:25:44Z,1.2,12344,2013-07-27
2013-07-27T03:26:14Z,1.2,12374,2013-07-27
2013-07-27T03:26:44Z,1.2,12404,2013-07-27
2013-07-27T03:27:14Z,1.2,12434,2013-07-27
2013-07-27T03:27:44Z,1.2,12464,2013-07-27
2013-07-27T03:28:14Z,1.2,12494,2013-07-27
2013-07-27T03:28:44Z,1.2,12524,2013-07-27
2013-07-27T03:29:14Z,1.2,12554,2013-07-27
2013-07-27T03:29:44Z,1.2,12584,2013-07-27
2013-07-27T03:30:14Z,1.2,12614,2013-07-27
2013-07-27T03:30:44Z,1.2,12644,2013-07-27
2013-07-27T03:31:14Z,1.2,12674,2013-07-27
2013-07-27T03:31:44Z,1.2,12704,2013-07-27
2013-07-27T03:32:14Z,1.2,12734,2013-07-27
2013-07-27T03:32:44Z,1.2,12764,2013-07-27
2013-07-27T03:33:14Z,1.2,12794,2013-07-27
2013-07-27T03:33:44Z,1.2,12824,2013-07-27
2013-07-27T03:34:14Z,1.2,12854,2013-07-27
2013-07-27T03:34:44Z,1.2,12884,2013-07-27
2013-07-27T03:35:14Z,1.2,12914,2013-07-27
2013-07-27T03:35:44Z,1.2,12944,2013-07-27
2013-07-27T03:36:14Z,1.2,12974,2013-07-27
2013-07-27T03:36:44Z,1.2,13004,2013-07-27
2013-07-27T03:37:14Z,1.2,13034,2013-07-27
2013-07-27T03:37:44Z,1.2,13064,2013-07-27
2013-07-27T03:38:14Z,1.2,13094,2013-07-27
2013-07-27T03:38:44Z,1.2,13124,2013-07-27
2013-07-27T03:39:14Z,1.2,13154,2013-07-27
2013-07-27T03:39:44Z,1.2,13184,2013-07-27
2013-07-27T03:40:14Z,1.2,13214,2013-07-27
2013-07-27T03:40:44Z,1.2,13244,2013-07-27
2013-07-27T03:41:14Z,1.2,13274,2013-07-27
2013-07-27T03:41:44Z,1.2,13304,2013-07-27
2013-07-27T03:42:14Z,1.2,13334,2013-07-27
2013-07-27T03:42:44Z,1.2,13364,2013-07-27
2013-07-27T03:43:14Z,1.2,13394,2013-07-27
2013-07-27T03:43:44Z,1.2,13424,2013-07-27
2013-07-27T03:44:14Z,1.2,13454,2013-07-27
2013-07-27T03:44:44Z,1.2,13484,2013-07-27
2013-07-27T03:45:14Z,1.2,13514,2013-07-27
2013-07-27T03:45:44Z,1.2,13544,2013-07-27
2013-07-27T03:46:14Z,1.2,13574,2013-07-27
2013-07-27T03:46:44Z,1.2,13604,2013-07-27
2013-07-27T03:47:14Z,1.2,13634,2013-07-27
2013-07-27T03:47:44Z,1.2,13664,2013-07-27
2013-07-27T03:48:14Z,1.2,13694,2013-07-27
2013-07-27T03:48:44Z,1.2,13724,2013-07-27
2013-07-27T03:49:14Z,1.2,13754,2013-07-27
2013-07-27T03:49:44Z,1.2,13784,2013-07-27
2013-07-27T03:50:14Z,1.2,13814,2013-07-27
2013-07-27T03:50:44Z,1.2,13844,2013-07-27
2013-07-27T03:51:14Z,1.2,13874,2013-07-27
2013-07-27T03:51:44Z,1.2,13904,2013-07-27
2013-07-27T03:52:14Z,1.2,13934,2013-07-27
2013-07-27T03:52:44Z,1.2,13964,2013-07-27
2013-07-27T03:53:14Z,1.2,13994,2013-07-27
2013-07-27T03:53:44Z,1.2,14024,2013-07-27
2013-07-27T03:54:14Z,1.2,14054,2013-07-27
2013-07-27T03:54:44Z,1.2,14084,2013-07-27
2013-07-27T03:55:14Z,1.2,14114,2013-07-27
2013-07-27T03:55:44Z,1.2,14144,2013-07-27
2013-07-27T03:56:14Z,1.2,14174,2013-07-27
2013-07-27T03:56:44Z,1.2,14204,2013-07-27
2013-07-27T03:57:14Z,1.2,14234,2013-07-27
2013-07-27T03:57:44Z,1.2,14264,2013-07-27
2013-07-27T03:58:14Z,1.2,14294,2013-07-27
2013-07-27T03:58:44Z,1.2,14324,2013-07-27
2013-07-27T03:59:14Z,1.2,14354,2013-07-27
2013-07-27T03:59:44Z,1.2,14384,2013-07-27
2013-07-27T04:00:14Z,1.2,14414,2013-07-27
2013-07-27T04:00:44Z,1.2,14444,2013-07-27
2013-07-27T04:01:14Z,1.2,14474,2013-07-27
2013-07-27T04:01:44Z,1.2,14504,2013-07-27
2013-07-27T04:02:14Z,1.2,14534,2013-07-27
2013-07-27T04:02:44Z,1.2,14564,2013-07-27
2013-07-27T04:03:14Z,1.2,14594,2013-07-27
2013-07-27T04:03:44Z,1.2,14624,2013-07-27
2013-07-27T04:04:14Z,1.2,14654,2013-07-27
2013-07-27T04:04:44Z,1.2,14684,2013-07-27
2013-07-27T04:05:14Z,1.2,14714,2013-07-27
